name,id,parent_id,description,link_download,incolla_valori
cmi_max_1981-2010_V.2.1.tif,88,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_cmi_max_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_cmi_max_1981-2010_V.2.1.tif
cmi_mean_1981-2010_V.2.1.tif,89,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_cmi_mean_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_cmi_mean_1981-2010_V.2.1.tif
cmi_min_1981-2010_V.2.1.tif,90,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_cmi_min_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_cmi_min_1981-2010_V.2.1.tif
cmi_range_1981-2010_V.2.1.tif,91,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_cmi_range_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_cmi_range_1981-2010_V.2.1.tif
fcf_1981-2010_V.2.1.tif,92,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_fcf_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_fcf_1981-2010_V.2.1.tif
fgd_1981-2010_V.2.1.tif,93,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_fgd_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_fgd_1981-2010_V.2.1.tif
gdd0_1981-2010_V.2.1.tif,94,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gdd0_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gdd0_1981-2010_V.2.1.tif
gdd10_1981-2010_V.2.1.tif,95,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gdd10_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gdd10_1981-2010_V.2.1.tif
gdd5_1981-2010_V.2.1.tif,96,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gdd5_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gdd5_1981-2010_V.2.1.tif
gddlgd0_1981-2010_V.2.1.tif,97,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddlgd0_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddlgd0_1981-2010_V.2.1.tif
gddlgd10_1981-2010_V.2.1.tif,98,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddlgd10_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddlgd10_1981-2010_V.2.1.tif
gddlgd5_1981-2010_V.2.1.tif,99,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddlgd5_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddlgd5_1981-2010_V.2.1.tif
gddfgd0_1981-2010_V.2.1.tif,100,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddfgd0_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddfgd0_1981-2010_V.2.1.tif
gddfgd10_1981-2010_V.2.1.tif,101,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddfgd10_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddfgd10_1981-2010_V.2.1.tif
gddfgd5_1981-2010_V.2.1.tif,102,51,,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddfgd5_1981-2010_V.2.1.tif,https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddfgd5_1981-2010_V.2.1.tif
